mineid,minename,date,time,narrative,stateabb,company_name
4200093,Sunnyside No. 1 Mine,12/4/1957,1007,"A sudden bump dislodged the rib rock on the right side of the maway for a distance of 220 feet outby 4th right No. 2 slope, filling the maway v1 with rock to within about 3 feet of the roof.",UT,Kaiser Steel Corp.
na,Glen Rogers No. 2 Mine,12/9/1957,2245,"Bump occurred in Main East section between time after cutting, just after drilling, and before blasting.  All but one of the preparation crew were killed. The greatest forces were released in No. 2 room and in the No. 2 Room crosscut, but effects of the bump were evident in each of the other 2 rooms.",WV,Raleigh-Wyoming Mining Co.
na,Spring Canyon No. 4 mine,1/17/1958,30,"A bump and explosion occurred in the 4 left section off the main slope    wikipedia 39°42′14″N 110°55′11″W (then converted) Pre-MSHA numbering. Strate immediately above is 6 inches of shale overlain by a laminated hard sandstone up' to 3 feet in thickness. The tmediate floor consists of hard sandstone or sandy shale. The thickness of cover above the 4 left section in the vicinityof the aecident site (caved area outby the pillar line on appended figures 1 and 2) was 600 to 700 feet. Inby the pillar line the cover increased in a distance of about 1300 feet to approximately 1200 feet at the inby extremity of 4 left. Outby the accident site the cover above the 4 left
entries varied from 600 to 900 feet The 4 left section crossed under Sowbelly Gulch, a prominent surface feature, in the vicinity of the accident site.",UT,Spring Canyon Coal Company
4200094,SUNNYSIDE #2 MINE,1/29/1959,1300,"A severe violent bump in the 6 right section occurred causing a section of the bolted and timbered roof in
the haulage entry to fall covering the locomotive and crushing the victim to death.",UT,Kaiser Steel Corp.
na,Mary Helen Nos 2 and 3 Mines,2/4/1959,1045,42 inch thick seam.  Coal is Bituminous and dark brown color upon stress and pulverization. Butt and face cleats well defined. Overburden is 1500 to 1800 ft. roof is thick sandstone up to 60 ft thick. Floor is 2 to 10 ft of hard dense shale and below is thick sandstone again up to 60 ft thick.,KY,Mary Hellen Coal Corporation
na,No. 9 Mine,8/18/1959,2300,coal bump occurred at the butt left pillar section. 42 to 60 inches thick coal. Roof is 15 to 60 ft thick sandstone. Floor is hard dense shale or siltstone with little heaving. Maximum overburden is 1500 ft. ,WV,Jewell Eagle Coal Company
4200094,SUNNYSIDE #2 MINE,1/29/1960,1245,A bump occurred while miner was installing yieldable steel arches in the face area of No. 3 right inby working section.  Miner was knocked down by falling coal and rock dislodged from the face.,UT,Kaiser Steel Corp.
,Moss No. 2 Mine,7/13/1960,430,"coal outburst (bump) occurred in No. 5 room 5 left 3 east pillar section.  72 to 96 inch coal thickness. 900 ft overburden at bump site. Roof at site is fine-grained sandstone ,ranging up to 25 feet in thickness. Floor is 3 to 5 ft hard gray shale. Cantilevering roof, was observed.",VA,Clinchfield Coal Corporation
na,Glen Rogers No. 2 Mine,7/25/1960,915,A coal mine outburst or bump occurred at pillar pocket turned into the side of No. 2 room pillar from the No. 3 room-pillar roadway in the 3 east parallel section.  53 ft thick sandstone roof but locally there was a section of shale up to 10 ft thick over part of the burst pillar. The floor is hard dense sandy shale resistant to heave. Some heaving in area prior to bump. 48 to 92 inch thick coal.  Unknown overburden depth but shafts are 700 ft deep.,WV,Raleigh-Wyoming Mining Co.
na,No. 2 Mine,9/30/1960,850,coal-mine bump in the 4 north pillar section. 44 inch coal bed. 846 ft maximum depth of cover. Roof is strong shale 24 to 36 inches and layers of other shale and sandstone above. Floor is hard firm shale 15 to 60 inches and below that sandstone up to 35 ft thick. ,WV,Chafin Coal Company
na,No. 2 Mine,3/29/1961,200,A coal mine bump along a coal pillar rib between Nos. 1 and 2 entries of 5 north section. Several pillars SW of 9/30/1960 bump as shown on map. Both are called mountain bumps indicating pressure from the overburden.  44 inch coal bed. 846 ft maximum depth of cover. Roof is strong shale 24 to 36 inches and layers of other shale and sandstone above. Floor is hard firm shale 15 to 60 inches and below that sandstone up to 35 ft thick. ,WV,Chafin Coal Company
na,Dehue Mine,10/25/1961,1800,coal outburst (bump) in an open end lift in No. 5 pillar of Road 526 Section. 60 inch thick coal bed. Roof local to the bump is sandstone 10 ft or more in thickness. Floor is hard dense shale. Very little heaving but noticed heaving in vicinity of bump.  cover near bump was 1150 to 1295 ft. Maximum cover at the mine is 1350 ft. ,WV,Jyoungstown Mine Corporation
na,Brookside Mine,11/2/1962,2030,"First of two coal outbursts in  K main section. occurred in the partially extracted barrier pillar between No. 5 and No. 6 room entries, which had been driven left off K main entry",KY,Kentucky Jellico Coal Company
na,Brookside Mine,11/3/1962,630,"same report as previous day coal outburst. Both mentioned in one report. A second coal outburst in K main section. occurred in the partially extracted barrier pillar between No. 5 and No. 6 room entries, which had been driven left off K main entry.",KY,Kentucky Jellico Coal Company
na,Brookside Mine,4/9/1963,2145,"A coal-mine outburst (bump) occurred during extraction of the outby portion of the 2 right K-Main barrier pillar. 42 inch thick coal seam. Harlan coal bed. 1000 to 1400 ft cover. The roof, with the exception of few localized falls, had not caved in the mined-out area of the 2 right barrier pillar. Blasting triggered the bump.",KY,Kentucky Jellico Coal Company
na,Federal No. 1 Mine,4/17/1963,1845,Coal bed is 38 to 45 inches thick. 917 to 1000 ft cover.  Roof is strong thing gray sandy shale. Thick sandstone overlays the gray sandy shale. Floor is firm very hard shale.,KY,Federal Mining Corporation
4200093,Sunnyside No. 1 Mine,6/3/1964,1550,Coal bump occurred at No. 9 room 11 left fatally injuring two miners and miner injuries to another. Coal and rock that fell from the right rib during recovery operations slightly injured four rescue workers.,UT,Kaiser Steel Corp.
4601407,OLGA # 1 AND # 2 MINES,11/24/1964,2145,"coal bump of considerable magnitude occurred in ~ne 2 west section.  A second bump of lesser magnitude occurred on this section approximately an hour later. Coal thickness 78 to 80 inches in section 2. The main roof structure in this vicinity is predominately massive gray Mahoning sandstones. The immediate roof is overlain by a stratum of very hard, gray, fine-grained sandstone successively overlain by a stratum of dark shales ranging up to 6 feet in thickness and a massive stratum of sandstone 114 feet thick. The cover over the 2 wes t area ranges from 900 to a maximum of 1,450 feet. The bump-potential history of the area resulted in a cooperative research and study by the company and Bureau of Mines in 1962.",WV,OLGA COAL CO.
4601407,OLGA # 1 AND # 2 MINES,4/26/1965,1110,"a bump of considerable magnitude occurred in the abandoned area of 2 west. coal was expelled violently from pillars, areas where the floor was affected, and the extent of extraction. 11:10 a.m.  On April 26, the men heard a pillar bump in the general direction of 5 right 2 west abandoned area.",WV,OLGA COAL CO.
na,No. 1 Mine,8/12/1965,1800,"Coal outburst (bump) at No. 3 chain pillar in 1 left entries off 9 face left entries. Up to 1500 ft cover. Massive sandstone roof and floor is dense shale that resists plastic flow. Blasting needed when coal becomes tight. The outburst was violent in nature in that the quantity of coal expelled (from the upper rib of the pillar) left a void between the coal and roof, 6 to 10 inches in height, up to 10 feet in depth and 12 feet in length. Coal is 40 to 50 inches thick.",KY,Turtle Creek Coal Company
4601407,OLGA # 1 AND # 2 MINES,9/23/1965,930,"injury to an employee occurred at 9:30 am just out by the entrance to No. 4 pillar lift, 5 left 4 east pillar section off 4 north. that a light ""bump"" did occur in the No.3 pillar, and it is believed that this was the bump that the timbermen reportedly heard a few minutes prior to the collapse of roof that struck and killed Rasnake. coal thickness 56 to 60 inches in the accident area. The immediate roof in the accident area was dark gray shale, ranging from 8 inches thick on the left side of No. 4 entry to 18 inches in thickness on the right side of the entry. The main roof was sandstone 27 feet in thickness.",WV,OLGA COAL CO.
na,No. 2 Mine,1/31/1966,445,A coal bump in the 6 flat right barrier pillar of the No. 1 hauLage Left section off 7 right. 80 inches coal at bump location.  Overburden at bump location is 750 ft.  Floor is dense hard sandy shale. The roof is 4 to 24 inches shale and above that is 6 to 25 ft sandstone. ,WV,United States Steel Company
500294,SOMERSET COAL MINE,1/11/1967,2050,"coal outburst causing fatal injury to one employee and minor injuries to five others. Cover over the 2 west C seam at the scene of the outburst is 1500 feet. a main roof of thick sandstone, and a hard thin shale floor resistant to pressure.",CO,US Steel Corp.
na,No. 10 Mine,8/18/1967,1330,"A coal outburst or bump in the 2 left butt section off 5 left entries off north main entries. The areas, in the ""B"", ""C"", and ""D"" coalbeds situated directly over the scene of the outburst in the ""A"" coalbed, were not accessible for examination. The coalbed thickness in the area involved is 77 inches, but decreases to 60 inches in other portions of the mine. the upper half of the coalbed contains 3 comparatively hard intercalations of shale that range from 2 to 8 inches in thickness. The characteristic hardness of the coal in combination with the layers or ""bands"" of hard shale causes the coal pillars to shatter and break somewhat readily under stress or blow. 2000 ft cover.",KY,Wisconsin Steel Coal Mines
,Moss No. 2 Mine,12/13/1967,1225,A coal bump or coalburst occurred at the bleeder block pillar in no. 1 heading in 6 right panel off 5 west through 7 right panel section. 54 inches coal thickness at bump location.  Overburden is 1100 at bump location. Roof is 25 ft of sandstone. Floor is dense shale with very little heaving.,VA,Clinchfield Coal Corporation
na,No. 9 Mine,9/22/1969,1445,"coal-mine bump in the 1 butt left section. 42 to 60 inches thick coal. Roof is 15 to 60 ft thick sandstone.The mine floor is predominately hard dense shale or siltstone, and some heaving was in evidence in the 1 butt left section. A couple pillars away from bump on 8/18/1959.",WV,Jewell Eagle Coal Company
500469,Dutch Creek No. 2 Mine,10/3/1969,1745,"Buried by a pile of coal. which resulted from a bump at the face of a crosscut
being driven from No. 2 entry to No.3 entry, No. 6 South section. Hard shale and thick sandstone about 2300 feet in thickness overlaid
the coalbed where the accident occurred.",CO,Mid-Continent Coal and Coke Company
na,No. 17 Mine,11/6/1969,1445,A coal burst in a chain pillar off No. 3 main entry 250 feet inby 2 cross right.  72 inch thick coal bed.  Roof averages 40 ft sandstone and above that is the Upper Cedar Grove coal bed. The sandstone is 90 feet thick at the bump location. The floor is dense fire clay that resists plastic flow. overburden unknown.,,Island Creek Coal Company
,Moss No. 2 Mine,1/8/1970,850,tail entry chain pillars of the No. 2 longwall panel between 5 and 6 left and off 3 North.  Overburden 1400 ft at bump location. 30 to 66 inch thick coal.  Up to 51 ft sandstone roof. Some floor heaving.,VA,Clinchfield Coal Corporation
na,No. D-1 Mine,2/10/1970,1205,"A coal-mine outburst (bump) occurred in the No. 3 entry and crosscut to the right off No. 3 entry in the main face development.  Coal thickness 44 inches. Harlen D coalbed. Coal is strong and brittle. 1250 to 1400 ft cover in area of bump. The immediate roof overlying the ""D"" coalbed consists of sandy shale in excess of 5 feet in thickness overlain by several stratum of sandstone that ranges from a few feet to more tha 90 feet in thickness. Floor is dense, hard, but loosely consolidated sandy shale extending to a depth of about 5 feet. ",KY,International Harvester Company
,Kenilworth Mine,4/14/1970,345,"A coal outburst that occurred at pillar block No. 1 panel, 4 east section, upper coal bed development, 4 ft to 6 ft bottom coal not mined, slabbing pillar recovery, immediate roof is firm sandstone unknown thickness, 1500 ft overburden at this location, vertical cleavage planes exist requiring pinning rib at 8 to 10 ft centers",UT,The North American Coal Company
,Moss No. 2 Mine,7/30/1970,1715,"coal mine outburst (bump) occurred tn the inby or fourth pillar in No. 10 room off 8 left 3 north. 40 to 65 inches coal thickness in current area. 1350 to 1450 ft overburden in the bump area. Roof is 51 ft of sandstone. The immediate floor was a hard, dense sandy shale and siltstone. ",VA,Clinchfield Coal Corporation
4200093,Sunnyside No. 1 Mine,12/9/1970,515,"Preparing to remove the plow, a bounce occurred causing a roof fall 15 feet long, 36 inches wide, and 44 inches high. A large piece of coal and rock struck miner inflicting crushing injuries to his chest and head.",UT,Kaiser Steel Corp.
4400238,BEATRICE MINE,1/26/1973,2300,"A coal bump or outburst occurred at approximately 11 p.m., Friday, January 26, 1973, in the tail-entry of the No. 2 plow section. in the area of the occurrence, the immediate roof was sandstone interspersed with sandy shale. Above this stratum were massive sandstone beds, 20 feet to 30 feet in thickness, separated by thin shale layers generaly less than 3 feet in thickness.   The floor was a dense sandy shale of an undetermined thickness which resisted heaving.",VA,BEATRICE POCAHONTAS COMPANY
4400238,BEATRICE MINE,5/15/1974,2217,a coal outburst occurred in a chain pillar on the tail entry side and directly across from No. 3 longwall plow face. 1345 ft overburden. 56 inch thick coal seam locally. Map in report shows location and previous ones.,VA,BEATRICE POCAHONTAS COMPANY
4400238,BEATRICE MINE,7/24/1976,1020,A coal outburst in the face area in No. 3 entry No. 9 unit section. 1900 to 2100 ft overburden. Massive sandy shale roof. Dense shale floor 30 inch thick typically heaved. Two miners were flung against the brattice along the opposite rib. 53 inch coal locally.,VA,BEATRICE POCAHONTAS COMPANY
4400238,BEATRICE MINE,10/31/1976,na,The outburst occurred along the left coal rib near the tailpiece of the pony belt serving the No. 9 unit section. Estimated thickness and overburden based on 7/24/1976  bump on same approximate location in the reports that each included small map. Occurred on weekend when no one present.,VA,BEATRICE POCAHONTAS COMPANY
500294,SOMERSET COAL MINE,12/18/1976,1430,"Fatal injury when a bounce threw the two roof bolters into the unbolted area at the face of No. 3 entry, C seam 1 left section.",CO,US Steel Corp.
4401642,Moss No. 3 Mine,11/4/1977,1315,A coalburst occurred at no. 2 room entry crosscut right of the 10 right section off 'A' mains. The 'A' portal is the start of the Moss no. 3 mine.  Roof is hard shale and sandstone. 10 ft Thick Tiller coalbed at bump location. Overlying barrier pillar in upper banner coalbed where bump occurred. Overburden not mentioned.,VA,Clinchfield Coal Corporation
4400238,BEATRICE MINE,4/12/1978,1200,A coalburst along the outby rib of the chain pillar about 120 feet southwest of station No. 8484 No.1 south section. The bump incident was indicated on the chart by a slight rise in unit pressure on the adjacent pillar.,VA,BEATRICE POCAHONTAS COMPANY
4200165,Braztah No. 3 Mine,4/27/1978,545,"sawing a timber in the No.6 Entry with Nielsen nearby. At this time, portions of the roof fall measuring about 55 feet in length, 12 to 32 feet wide and 8 to 18 inches in thickness struck the victims, resulting in their death and injury. The roof fall resulted from a bump which occurred simultaneously with the fall. Lat lon from Utah.goelogy.gov spreadsheet https://geology.utah.gov/apps/abancolemine/xls-database/abandoned_coal_mines_utah.xls",UT,Braztah Corporation/Mc Culloch Oil Corp
4400238,BEATRICE MINE,5/8/1978,2310,Coal outburst occurred along the rib of the entry chain pillar (developed to be 32 feet wide and 82 feet long) about 150 feet inby survey station No. 10833 in No. 2 plow section (No. 2 development No. 2 north) during plowing. Ventilation brattice was displaced and line posts along the rib of the affected pillar were dislodged and deflected onto the chain conveyor. Coal was ejected along the rib and piled against the conveyor line.  Strong massive main roof that resisted caving near the headgate entry. Floor heaving was pronounced most of the way outby the longwall face along the tailgate entry and extreme loading of the large tailgate entry chain pillars seemed improbable. Map shows 4 entry with one row 70 ft square pillars and two rows of narrow pillars approximately 30 wide by 70 ft long. Narrow headgate pillar failed at longwall face intersection.,VA,BEATRICE POCAHONTAS COMPANY
4400238,BEATRICE MINE,5/30/1978,2210,A series of coalbursts occurred on No. 1 south section. 1750 to 2000 ft overburden at the burst area. The first occurred at the left chain pillar immediately-inby -Survey station No. 8483. ,VA,BEATRICE POCAHONTAS COMPANY
4400238,BEATRICE MINE,6/7/1978,na,"Coal outburst,  map only showing areas of heaved floor but no specifics for this report.",VA,BEATRICE POCAHONTAS COMPANY
4400238,BEATRICE MINE,6/13/1978,2215,A series of coalbursts occurred on No. 1 south section. 1750 to 2000 ft overburden at the burst area. The third burst was at  the left chain pillar immediately inby survey station No. 8451,VA,BEATRICE POCAHONTAS COMPANY
4400238,BEATRICE MINE,6/23/1978,na,No. 1 south section (map only showing some areas of possible failure),VA,BEATRICE POCAHONTAS COMPANY
4601407,OLGA # 1 AND # 2 MINES,12/8/1978,2135,Coal thickness is 84 inches. A coal bump occurred at the No. 15 pillar bloak on the 3 north section and was approximately 82 x 67 x 5 feet in size. 1485 feet overburden and 200 feet thick massive sandstone roof directly over the coalbed.,WV,OLGA COAL CO.
4400238,BEATRICE MINE,2/8/1979,1015,A coal outburst occurred at the face of a split in a pillar about 65 feet yest of survey station No. 8441 in No.1 south section. Miner loaded floor material and barely struck the face along the left rib and the outburst occurred. This general area has been characterized by a strong floor which led to a plan to maintain small pillars along the pillar line. it was planned to split the second row of large chain pillars outby the pillar line preparatory to resuming recovery of pillars. The outburst occurred during this phase of mining.,VA,BEATRICE POCAHONTAS COMPANY
4400238,BEATRICE MINE,3/20/1980,2230,Bump occurred at No. 4 plow longwall section during a coal-producing shift. six chain pillars with dimensions of 30 by 70 feet had bumped--two violently. 2000 ft overburden. Strong mine floor and roof. ,VA,BEATRICE POCAHONTAS COMPANY
4200165,Price River No. 3 Mine,5/29/1980,1705,A double drum shearing machine was cutting bottom when a bounce occurred. The small bounce occurred at the tailgate end of the longwall face which sloughed loose coal against the shearing machine between the cutting drums which restricted ventilation.Tailgate drum contacting hard sandstone floor ignited dust. Same MSHA id as Braztah No. 3 mine,UT,"Price River Coal Company, Inc."
500469,Dutch Creek No. 2 Mine,6/5/1980,1330,"an outburst of coal (bounce) occurred in the No. 4 slope right rib from a crosscut being driven to the
last open crosscut outby. Four miners were injured. The accident occurred because of the pressure on the pillar from the mining method.",CO,"Mid-Continent Resources, Inc."
500300,L S WOOD MINE,7/1/1980,2115,"an outburst of coal (bounce) occurred in the crosscut being driven from No, 6 slope to No. 5 slope. The accident occurred because of the presence of overburden which is in excess of 2500 feet. 8 ft of coal was being mined.",CO,"Mid-Continent Resources, Inc."
4400238,BEATRICE MINE,7/21/1980,na,"coal outburst that occurred on a previous day in No. 4 plow section (No. 3 development No. 2 north) along the tailgate entry chain pilla' immediately outby
survey station No. 10833. Fractured and heaved floor continued for more than 400 feet outby the pillar outburst. The overburden based on coalbed elevations and topographic map data is about 2,190 feet thick over the outburst area. Contour shows 74 inches thick coal at outburst area.",VA,BEATRICE POCAHONTAS COMPANY
500469,Dutch Creek No. 2 Mine,7/30/1980,930,"On Wednesday. July 30, 1980, at 9: 30 a. m.. an outburst of coal accident occurred in the face area of the crosscut being driven from No. 4 slope to No. 5 slope of the slope section. No personal injury or apparent damage to machinery was suffered. The accident occurred because of the tremendous pressure on the coal as a result of up to 2500 feet of overburden.",CO,Mid-Con tinent Resources; Inc.
4400238,BEATRICE MINE,8/18/1980,2150,"The outburst occurred in the vicinity of survey station No. 5ó20 skip south section (No. 9 unit) and affected the entire perimeter of the chain pillar (A pillar, Sketch No.1). Overburden in this area ranging from 1,360 to 1,520 feet in thickness.  Firm floor.",VA,BEATRICE POCAHONTAS COMPANY
4400238,BEATRICE MINE,8/21/1980,430,"Blasting holes were drilled, charged, and fired along two sides of pillar B (Sketch No.2) and blasting immediately induced an outburst about 4: 30 a.m., August 21, 1980 (owl shift). The outburst affected the entire pillar and apparently destressed it. Firm floor.",VA,BEATRICE POCAHONTAS COMPANY
4400238,BEATRICE MINE,8/25/1980,425,"two bump incidents  (Pillars C and D on sketch) occurred the same day on the skip south section. Pillar C, the continuous-mining machine operator, was at the controls of the machine (position unchanged when the car was loaded) when the bump occurred. The front of the machine was displaced about 5 feet and miner was thrown on the floor. ",VA,BEATRICE POCAHONTAS COMPANY
500300,L S WOOD MINE,9/9/1980,1020,"an outburst of coal (bounce) An outburst occurred at the 001-0 slopes section. The outburst occurred while the mining crew was cleaning the mine floor in the crosscut being driven from the No. 5 slope to the No. 4 slope. The accident occurred because of the overburden which is in excess of 2,000 feet in thickness and exerts extreme pressure on the coal bed. No injuries.",CO,"Mid-Continent Resources, Inc."
500300,L S WOOD MINE,9/16/1980,930,"an outburst of coal (bounce) occurred at the 001-0 section while attempting to install posts at the No. 4 face. Excess of 2000 ft overburden exerts pressure on the coalbed.
",CO,"Mid-Continent Resources, Inc."
500300,L S WOOD MINE,10/17/1980,1945,"An outburst of coal (bounce) occurred in the No. 6 slope.  The accident occurred because of the overburden which is in excess of 2,000 feet in thickness and exerts extreme pressure on the coal bed.",CO,"Mid-Continent Resources, Inc."
4400238,BEATRICE MINE,12/6/1980,2230,"Two coal mine bump outbursts occurred in the Skip South Section. the outburst occurred in a pillar remnant (Sketch A) with dimensions of 55 by 85 feet that was
located adjacent to a pillared-out area. The immediate mine roof was dislodged and the end of a cinderblock stopping was torn out due to the expansion of the coal rib. The second burst, the incident occurred while developing a 255 by 140-foot barrier pillar (Sketch B) that is located in the vertex of the pillared-oue areas.",VA,BEATRICE POCAHONTAS COMPANY
4400238,BEATRICE MINE,1/21/1981,1835,coal mine bump(s) of considerable magnitude occurred in the skip south section. five chain pillars and three pillar remnants had erupted to some degree as a consequence of the bump(s) and one cinderblock stopping was torn out due to the expansion of the coal rib. It is the opinion of the writer that the bumps were a result of a chain reaction. Overburden thickness of 1800 to 1950 feet and a very strong mine floor and roof.,VA,BEATRICE POCAHONTAS COMPANY
500300,L S WOOD MINE,4/3/1981,1910,"an outburst of coal occurred in the No. 4 slope of L. S. Wood Mine, Mid-Continent Resources, Inc. No personal injury was suffered. The accident occurred because of the overburden which is in excess of 2,000 feet in thickness and exerts extreme pressure on the coalbed.",CO,"Mid-Continent Resources, Inc."
500300,L S WOOD MINE,4/13/1981,1410,Outburst of coal occurred in the crosscut (approx. 200 feet inby survey station No. 3-l27). Overburden excess of 2000 ft.,CO,"Mid-Continent Resources, Inc."
500301,Dutch Creek No. 1 Mine,4/15/1981,1608,"Sometime after the ""E"" shift started loading coal and prior to the explosion, an outburst occurred in the face  of the No.1 entry on the 102 Section releasing a large
50 quantity of methane that could not be diluted by the available intake air to less than explosive concentrations. (page 50 of report)",CO,"Mid-Continent Resources, Inc."
500300,L S WOOD MINE,5/11/1981,1015,"an outburst of coal (bounce) occurred inby the last open crosscut in No. 5 slope (intake) of the slopes working section. No personal inj ury or property damage was
suffered.",CO,"Mid-Continent Resources, Inc."
500300,L S WOOD MINE,4/5/1982,1340,"an outburst of coal accident occurred in the face area of the No. 4 entry of the slope section. No personal injury or apparent damage to equipment was suffered. The accident occurred because of the tremendous pressure on the coal and as a result of up to 2,500 feet of overburden.",CO,"Mid-Continent Resources, Inc."
500300,L S WOOD MINE,4/28/1982,840,"an outburst of coal (pushout) occurred in the face of the #3 entry in the slope section. The accident occurred because of the over burden which is in excess of
2,500 feet.",CO,"Mid-Continent Resources, Inc."
4200121,Deer Creek Mine,8/12/1982,1415,"a fall of rib (outburst) accident occurred at the face of the No, Z room. off of crosscut No. 23, in the 9th East ""A"" pillar section",UT,Emery Mining Corp.
4201211,TRAIL MOUNTAIN,1/3/1983,1220,"THE MINER WAS MINING SECOND PUSH ON #3 TO #4 PILLAR. ROOF BOLTS UP TO CAB. THE OPERATOR SAW TOP START TO WORK AND WAS BACKING MINER OUT WHEN RIB BOUNCES DE-ENERGIZED MACHINE ON PANIC SWITCH ON THE LEFT SIDE OF MINER. BEFORE THE POWER WAS RESET, TOP COAL CAME IN. LOOSE SHALE FLOOR AND RIBS STOPPED MINER FROM TRAMMING OUT OF PLACE. SET SAFETY TIMBER IN WHILE WE CLEANED RIBS-WE USED M",UT,TRAIL MOUNTAIN COAL CO
4601923,EAGLE #5,1/10/1983,1345,EMPLOYEE WAS WALKING AROUND THE MINER WHEN THE TOP BUMPED AND THE RIB ROLLED OVER ON HIS LEG CATCHING HIM BETWEEN THE MINER AND THE RIB.,WV,BIG BEAR MINING CO INC
4200080,WILBERG MINE,1/12/1983,2000,MAN WAS HELPING SHEAR OPERATOR AT TAILGATE AND THE COAL FACE BOUNCED AND STRUCK HIM IN THE BACK OF THE HEAD CAUSING A LACERATION TO THE HED AND SUTURES WERE RECEIVED,UT,EMERY MINING CORP
4201254,GORDON CREEK NO.3 MINE,1/12/1983,1615,"EMPLOYEE WAS ROOFBOLTING CLOSE TO THE LEFT HAND RIB. HE HAD BARRED DOWN THE BAD RIB AND CONTINURED TO ROOFBOLT WHEN THE RIB BOUNCED AND A SLAB OF COAL 3\X 2\ X 1 1/2\ ROLLED OFF THE RIB, HITTI NG HIM IN THE BACK OF THE NECK AND BACK, AND PINNING HISRIGHT LEG AGAINST THE ROOF BOLTER. FRACTURED TIBIA, RIGHT LEG, CAST , TYLOX FOR PAIN",UT,BEAVER CREEK COAL CO
